id,section,type,severity,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260624-024342-S2-E1,Section 2,E,low,Connection leak in db_list_projects(),completed,database,ocman.py:3511,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman.py,pytest,implement fix in S7
20260624-024342-S2-E2,Section 2,E,low,Connection leak in db_list_sessions(),completed,database,ocman.py:3549,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman.py,pytest,implement fix in S7
20260624-024342-S2-E3,Section 2,E,low,Connection leak in main project context resolution,completed,main script,ocman.py:6416,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman.py,pytest,implement fix in S7
20260624-024342-S2-E4,Section 2,E,low,Connection leak in TUI database widget,completed,TUI database screen,ocman_tui/widgets/database.py:296,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman_tui/widgets/database.py,pytest,implement fix in S7
20260624-024342-S2-E5,Section 2,E,low,Connection leak in TUI session deletion dialog,completed,TUI app,ocman_tui/app.py:169,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman_tui/app.py,pytest,implement fix in S7
20260624-024342-S2-E6,Section 2,E,low,Connection leak in TUI project deletion dialog,completed,TUI app,ocman_tui/app.py:286,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman_tui/app.py,pytest,implement fix in S7
20260624-024342-S2-E7,Section 2,E,low,Connection leak in TUI delete worker,completed,TUI app,ocman_tui/app.py:1026,Leaked connection if query raises exception,Wrap with try-finally or use context manager,none,final-bug-security-audit.md,ocman_tui/app.py,pytest,implement fix in S7
20260624-024342-S3-T1,Section 3,T,low,Missing unit tests for query-only connection cleanup under errors,completed,testing,tests/test_ocman.py,Lack of regression protection against connection leaks on query exceptions,Add unit tests that mock database exceptions and assert connection closure,none,none,tests/test_ocman.py,pytest,implement tests in S7
20260624-024342-S3-T2,Section 3,T,low,Lack of CLI integration tests,completed,testing,tests/test_ocman.py,CLI arguments parsing and execution path changes lack integration test protection,Add integration tests for CLI argument execution workflows,none,none,tests/test_ocman.py,pytest,implement tests in S7
20260624-024342-S8-E1,Section 8,E,low,Mismatched recovery and compaction timestamps in single script runs,completed,file output,ocman.py:3410,Mismatched timestamps due to multiple datetime.now() calls during wait times,Confusing output filenames,Use process startup-cached timestamps for all output files generated in a single script execution,none,final-bug-security-audit.md,ocman.py,pytest,commit changes in S8

