id,severity,remediation_risk,remediation_risk_axis,persona,area,finding,evidence,proposed_action,disposition
SD-01,High,Low,none,novice;ui-ux,First-run/Errors,"Bare `ocman` in a project lists sessions then prompts 'Select a session number'; non-TTY stdin hits EOF and is caught as 'Unexpected error: EOF...' exiting 1. Crash on the most natural first command and in any script/CI.","ocman/cli.py:1697 (prompt); 16794 (no-args dispatch); 15609 (EOF guard); runtime exit 1 with </dev/null","No-args + non-TTY stdin: print listing and exit 0; only prompt at a TTY",proposed
SD-02,High,Low,none,novice,Help accuracy,"Top-level/help text promises '(no args: lists this directory's sessions, or all projects if none)' but no-args launches the interactive picker.","ocman/cli.py:5634 vs picker path 16794","Correct the help line to match the (TTY-gated) behavior",proposed
SD-03,Medium,Low,none,novice;power,Errors/exit,"`db info` on a missing --db prints a soft yellow 'Database file not found' + empty screen, exits 0; ideal actionable message _db_not_found_error exists but is unused.","ocman/cli.py:12894 (soft warn); 1214-1223 (unused ideal)","Route db info missing-DB through _db_not_found_error() -> die exit 1",proposed
SD-04,Medium,Low,none,power,Errors/exit,"`session search` empty prints 'No sessions match X.' and returns exit 0, while target-resolver 'No matches found' exits 1. Inconsistent signalling.","ocman/cli.py:16345 (no exit) vs 5277-5290 (exit 1)","Keep search-empty exit 0 but make intent explicit (comment + next-step hint present)",proposed
SD-05,Medium,Low,none,novice;ui-ux,Examples,"Per-command -h shows only usage+flags; examples live only in top-level help / help TOPIC. `session recover -h` never shows -mi 50 in context. No epilog= on subparsers.","ocman/cli.py:6066-6579 (no epilog)","Add epilog= examples to high-traffic subcommands (recover/compact/db clean/search/backup create)",proposed
SD-06,Medium,Low,none,novice,Naming,"`filter` top-level verb reads as 'filter a list' but means 're-scope a recovery Markdown doc via the LLM'; the name misleads even though help clarifies.","ocman/cli.py:6506","Add `rescope` as primary/alias name for filter (keep filter alias)",proposed
SD-07,Low,Low,none,novice,Help text,"`db rebase` help 'Bulk rebase path prefixes...' explains the jargon with the same jargon.","ocman/cli.py:6387","Rewrite: 'Bulk-rewrite stored path prefixes (e.g. after moving your home dir); --from OLD --to NEW'",proposed
SD-08,Low,Low,none,novice,Help text,"`filter -C/--compact` help just 'Model to use.'; -oc/--output-compact just 'Output path.'; --scope does not say it is effectively required.","ocman/cli.py:6509-6514","Flesh out the filter option help to match the recovery options",proposed
SD-09,Low,Low,none,novice,Discoverability,"Some terminal empty-result die()s give no next-step: die('No sessions found.') and die('No sessions found for project: ...').","ocman/cli.py:16183,16187","Append 'Run ocman list projects to see what exists'",proposed
SD-D1,Medium,Medium-High,complexity,power,Discoverability,"No shell completion (no argcomplete or static bash/zsh scripts) for a ~20-group noun-verb CLI with aliases.","grep: no argcomplete/completion in ocman/","DEFERRED: own IPD (new dependency + per-shell install docs)",deferred
